����_A
t	y	x
19.8	-178.86462882096066	296.2445414847161
19.9	-165.82241630276565	301.8340611353712
20.0	-139.7379912663755	309.2867540029112
20.1	-109.92721979621535	316.7394468704512
20.2	-91.29548762736533	318.6026200873362
20.3	-74.52692867540031	318.6026200873362
20.4	-33.53711790393015	322.3289665211062
20.5	-5.5895196506550064	322.3289665211062
20.6	22.35807860262014	318.6026200873362
20.7	48.442503639010226	311.1499272197962
20.8	74.52692867540031	309.2867540029112
20.9	119.24308588064048	290.6550218340611
21.0	143.46433770014556	279.47598253275106
21.1	162.09606986899564	275.74963609898106
21.2	190.04366812227073	270.16011644832605
21.3	193.7700145560408	268.29694323144105
21.4	197.4963609898108	266.43377001455605
21.5	188.18049490538573	268.29694323144105
21.6	175.1382823871907	272.02328966521105
21.7	165.82241630276565	273.88646288209605
21.8	156.50655021834064	281.33915574963606
21.9	126.69577874818052	285.06550218340607
22.0	96.8850072780204	290.6550218340611
22.1	54.03202328966523	299.9708879184862
22.2	27.947598253275146	307.4235807860262
22.3	1.8631732168850021	311.1499272197962
22.4	-35.400291120815154	314.8762736535662
22.5	-67.07423580786019	309.2867540029112
22.6	-108.06404657933035	314.8762736535662
22.7	-126.69577874818043	307.4235807860262
22.8	-150.91703056768552	303.6972343522562
22.9	-171.41193595342065	298.1077147016011
23.0	-180.72780203784566	288.7918486171761
23.1	-193.77001455604068	292.5181950509461
23.2	-195.63318777292568	286.92867540029107
23.3	-212.4017467248908	283.20232896652107
23.4	-199.3595342066958	283.20232896652107
23.5	-188.18049490538567	285.06550218340607
23.6	-190.04366812227067	279.47598253275106
23.7	-163.95924308588053	299.9708879184862
23.8	-152.78020378457052	301.8340611353712
23.9	-136.0116448326055	309.2867540029112
24.0	-111.79039301310036	311.1499272197962
24.1	-78.25327510917032	314.8762736535662
24.2	-59.62154294032018	314.8762736535662
24.3	-29.810771470160148	314.8762736535662
24.4	9.31586608442501	313.0131004366812
24.5	35.400291120815154	313.0131004366812
24.6	57.75836972343524	309.2867540029112
24.7	91.29548762736539	296.2445414847161
24.8	117.37991266375548	286.92867540029107
24.9	143.46433770014556	281.33915574963606
25.0	167.68558951965065	277.61280931586606
25.1	188.18049490538573	268.29694323144105
25.2	188.18049490538573	262.70742358078604
25.3	188.18049490538573	262.70742358078604
25.4	165.82241630276565	266.43377001455605
25.5	165.82241630276565	268.29694323144105
25.6	152.78020378457063	272.02328966521105
25.7	130.42212518195055	277.61280931586606
25.8	102.4745269286754	288.7918486171761
25.9	78.25327510917032	286.92867540029107
26.0	42.85298398835516	303.6972343522562
26.1	5.5895196506550064	316.7394468704512
26.2	-26.084425036390087	316.7394468704512
26.3	-55.89519650655018	316.7394468704512
26.4	-98.74818049490528	311.1499272197962
26.5	-113.65356622998536	309.2867540029112
26.6	-149.0538573508005	303.6972343522562
26.7	-152.78020378457052	301.8340611353712
26.8	-158.36972343522552	294.3813682678311
26.9	-195.63318777292568	288.7918486171761
27.0	-197.49636098981068	286.92867540029107
27.1	-201.2227074235808	283.20232896652107
27.2	-193.77001455604068	286.92867540029107
27.3	-190.04366812227067	286.92867540029107
27.4	-190.04366812227067	288.7918486171761
27.5	-177.00145560407566	296.2445414847161
